Index,Timestamp,UTCdate,Volume,Ask.c,Ask.h,Ask.o,Ask.l,Bid.c,Bid.h,Bid.o,Bid.l,Mid.c,Mid.h,Mid.o,Mid.l,
54,1497949380.0,2017-06-20 09:03:00,2,0.87904,0.87906,0.87904,0.87906,0.87911,0.87914,0.87911,0.87914,0.87898,0.87899,0.87898,0.87899,
55,1497949385.0,2017-06-20 09:03:05,1,0.87909,0.87909,0.87909,0.87909,0.87917,0.87917,0.87917,0.87917,0.87901,0.87901,0.87901,0.87901,
56,1497949400.0,2017-06-20 09:03:20,2,0.87906,0.87904,0.87904,0.87906,0.87913,0.8791,0.8791,0.87913,0.87899,0.87897,0.87897,0.87899,
57,1497949405.0,2017-06-20 09:03:25,3,0.87901,0.87896,0.87896,0.87901,0.87909,0.87903,0.87903,0.87909,0.87893,0.87889,0.87889,0.87893,
58,1497949410.0,2017-06-20 09:03:30,7,0.87894,0.87898,0.87891,0.87898,0.87901,0.87905,0.87898,0.87905,0.87886,0.8789,0.87884,0.8789,
59,1497949415.0,2017-06-20 09:03:35,2,0.87895,0.87898,0.87895,0.87898,0.87903,0.87906,0.87903,0.87906,0.87888,0.8789,0.87888,0.8789,
60,1497949430.0,2017-06-20 09:03:50,5,0.87896,0.87887,0.87887,0.87896,0.87904,0.87893,0.87893,0.87904,0.87888,0.8788,0.8788,0.87888,
61,1497949435.0,2017-06-20 09:03:55,6,0.87884,0.87881,0.87882,0.87886,0.87892,0.87889,0.87888,0.87893,0.87876,0.87874,0.87874,0.87879,
62,1497949450.0,2017-06-20 09:04:10,1,0.87884,0.87884,0.87884,0.87884,0.8789,0.8789,0.8789,0.8789,0.87877,0.87877,0.87877,0.87877,
63,1497949475.0,2017-06-20 09:04:35,4,0.87887,0.87894,0.87887,0.87894,0.87893,0.879,0.87893,0.879,0.8788,0.87887,0.8788,0.87887,
64,1497949500.0,2017-06-20 09:05:00,1,0.87896,0.87896,0.87896,0.87896,0.87903,0.87903,0.87903,0.87903,0.87889,0.87889,0.87889,0.87889,
65,1497949530.0,2017-06-20 09:05:30,1,0.87894,0.87894,0.87894,0.87894,0.879,0.879,0.879,0.879,0.87887,0.87887,0.87887,0.87887,
